ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-02-22 21:19:52 062m





Relative time;HS3-100(17654).Ch1;HS3-100(17654).Ch2
s;V;V
-2;0.017578125;0.64023438
-1.9998;0.025390625;0.66132813
-1.9996;0.021484375;0.63593751
-1.9994;0.029296875;0.63789063
-1.9992;0.0234375;0.66953126
-1.999;0.02734375;0.67734376
-1.9988;0.03125;0.63671876
-1.9986;0.025390625;0.68125001
-1.9984;0.025390625;0.63632813
-1.9982;0.021484375;0.64804688
-1.998;0.021484375;0.65312501
-1.9978;0.021484375;0.64492188
-1.9976;0.02734375;0.67460939
-1.9974;0.021484375;0.64843751
-1.9972;0.029296875;0.65625001
-1.997;0.029296875;0.64023438
-1.9968;0.02734375;0.68789064
-1.9966;0.017578125;0.63671876
-1.9964;0.02734375;0.64335938
-1.9962;0.015625;0.69140626
-1.996;0.029296875;0.62851563
-1.9958;0.021484375;0.69960939
-1.9956;0.02734375;0.63671876
-1.9954;0.021484375;0.67578126
-1.9952;0.021484375;0.65312501
-1.995;0.021484375;0.64453126
-1.9948;0.017578125;0.67734376
-1.9946;0.017578125;0.64531251
-1.9944;0.025390625;0.66367188
-1.9942;0.0234375;0.64414063
-1.994;0.02734375;0.63789063
-1.9938;0.029296875;0.63515626
-1.9936;0.0234375;0.63320313
-1.9934;0.021484375;0.64101563
-1.9932;0.021484375;0.62617188
-1.993;0.0234375;0.64140626
-1.9928;0.021484375;0.64335938
-1.9926;0.03125;0.64179688
-1.9924;0.021484375;0.63320313
-1.9922;0.01953125;0.63398438
-1.992;0.02734375;0.64179688
-1.9918;0.02734375;0.62617188
-1.9916;0.0234375;0.63554688
-1.9914;0.017578125;0.63007813
-1.9912;0.021484375;0.62734376
-1.991;0.029296875;0.62539063
-1.9908;0.025390625;0.64335938
-1.9906;0.025390625;0.66484376
-1.9904;0.02734375;0.65000001
-1.9902;0.01953125;0.64375001
-1.99;0.03125;0.65156251
-1.9898;0.021484375;0.63125001
-1.9896;0.03125;0.65156251
-1.9894;0.025390625;0.65507813
-1.9892;0.029296875;0.64765626
-1.989;0.017578125;0.63984376
-1.9888;0.025390625;0.69062501
-1.9886;0.0234375;0.63984376
-1.9884;0.01953125;0.64492188
-1.9882;0.02734375;0.64687501
-1.988;0.0234375;0.63632813
-1.9878;0.0234375;0.64609376
-1.9876;0.021484375;0.63945313
-1.9874;0.02734375;0.64648438
-1.9872;0.017578125;0.63906251
-1.987;0.0234375;0.67539064
-1.9868;0.033203125;0.64023438
-1.9866;0.03125;0.65156251
-1.9864;0.0234375;0.65000001
-1.9862;0.01953125;0.64609376
-1.986;0.03515625;0.63945313
-1.9858;0.025390625;0.65898438
-1.9856;0.0234375;0.65117188
-1.9854;0.017578125;0.65507813
-1.9852;0.025390625;0.63984376
-1.985;0.00390625;0.64804688
-1.9848;0.0234375;0.64023438
-1.9846;0.029296875;0.65429688
-1.9844;0.0234375;0.64921876
-1.9842;0.021484375;0.65117188
-1.984;0.017578125;0.65390626
-1.9838;0.0234375;0.63476563
-1.9836;0.01953125;0.63984376
-1.9834;0.0234375;0.63554688
-1.9832;0.025390625;0.64648438
-1.983;0.029296875;0.62734376
-1.9828;0.03125;0.63867188
-1.9826;0.01953125;0.63203126
-1.9824;0.025390625;0.63085938
-1.9822;0.02734375;0.65351563
-1.982;0.0234375;0.65156251
-1.9818;0.021484375;0.65703126
-1.9816;0.0234375;0.64609376
-1.9814;0.0234375;0.65312501
-1.9812;0.025390625;0.64882813
-1.981;0.0234375;0.65117188
-1.9808;0.029296875;0.64843751
-1.9806;0.0234375;0.64843751
-1.9804;0.0234375;0.65078126
-1.9802;0.01953125;0.65078126
-1.98;0.025390625;0.65195313
-1.9798;0.017578125;0.64921876
-1.9796;0.029296875;0.64531251
-1.9794;0.021484375;0.64531251
-1.9792;0.017578125;0.65976563
-1.979;0.025390625;0.64726563
-1.9788;0.021484375;0.65390626
-1.9786;0.025390625;0.64570313
-1.9784;0.017578125;0.64609376
-1.9782;0.0234375;0.64023438
-1.978;0.021484375;0.67929689
-1.9778;0.025390625;0.64570313
-1.9776;0.029296875;0.65703126
-1.9774;0.01953125;0.63710938
-1.9772;0.021484375;0.64765626
-1.977;0.021484375;0.65546876
-1.9768;0.025390625;0.61679688
-1.9766;0.01953125;0.65625001
-1.9764;0.025390625;0.65273438
-1.9762;0.0234375;0.65507813
-1.976;0.025390625;0.65117188
-1.9758;0.0234375;0.65000001
-1.9756;0.0234375;0.64609376
-1.9754;0.01953125;0.63515626
-1.9752;0.025390625;0.64921876
-1.975;0.017578125;0.64453126
-1.9748;0.02734375;0.68007814
-1.9746;0.0234375;0.65234376
-1.9744;0.0234375;0.65507813
-1.9742;0.02734375;0.63476563
-1.974;0.01953125;0.63085938
-1.9738;0.02734375;0.65195313
-1.9736;0.029296875;0.63515626
-1.9734;0.02734375;0.64804688
-1.9732;0.02734375;0.63593751
-1.973;0.025390625;0.68554689
-1.9728;0.0234375;0.64062501
-1.9726;0.025390625;0.65664063
-1.9724;0.0234375;0.63593751
