ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-02-22 20:18:51 493m





Relative time;HS3-100(17654).Ch2;HS3-100(17654).Ch1
s;V;V
-2;0.51679688;0.03515625
-1.9998;0.52617188;0.01953125
-1.9996;0.53437501;0.025390625
-1.9994;0.52578126;0.021484375
-1.9992;0.52265626;0.025390625
-1.999;0.50664063;0.02734375
-1.9988;0.52031251;0.02734375
-1.9986;0.52851563;0.029296875
-1.9984;0.53515626;0.0234375
-1.9982;0.52343751;0.025390625
-1.998;0.52070313;0.017578125
-1.9978;0.52187501;0.025390625
-1.9976;0.50664063;0.017578125
-1.9974;0.52382813;0.017578125
-1.9972;0.52265626;0.025390625
-1.997;0.50078126;0.0234375
-1.9968;0.53125001;0.029296875
-1.9966;0.52226563;0.029296875
-1.9964;0.51992188;0.02734375
-1.9962;0.51328126;0.0234375
-1.996;0.51796876;0.021484375
-1.9958;0.50468751;0.021484375
-1.9956;0.50937501;0.01953125
-1.9954;0.52109376;0.0234375
-1.9952;0.52109376;0.025390625
-1.995;0.51679688;0.0234375
-1.9948;0.51289063;0.029296875
-1.9946;0.53281251;0.02734375
-1.9944;0.53281251;0.02734375
-1.9942;0.52734376;0.021484375
-1.994;0.51835938;0.017578125
-1.9938;0.52578126;0.02734375
-1.9936;0.51914063;0.025390625
-1.9934;0.52500001;0.03125
-1.9932;0.52656251;0.01953125
-1.993;0.51796876;0.02734375
-1.9928;0.51562501;0.02734375
-1.9926;0.52304688;0.01953125
-1.9924;0.51406251;0.021484375
-1.9922;0.53125001;0.021484375
-1.992;0.52734376;0.025390625
-1.9918;0.52031251;0.021484375
-1.9916;0.51523438;0.029296875
-1.9914;0.48828126;0.017578125
-1.9912;0.52343751;0.0234375
-1.991;0.50000001;0.0234375
-1.9908;0.51601563;0.02734375
-1.9906;0.51171876;0.025390625
-1.9904;0.52148438;0.0234375
-1.9902;0.52578126;0.0234375
-1.99;0.51640626;0.015625
-1.9898;0.53710938;0.029296875
-1.9896;0.52226563;0.0234375
-1.9894;0.52109376;0.02734375
-1.9892;0.51367188;0.029296875
-1.989;0.52031251;0.0234375
-1.9888;0.53085938;0.025390625
-1.9886;0.49726563;0.03125
-1.9884;0.52656251;0.017578125
-1.9882;0.51992188;0.0234375
-1.988;0.50390626;0.025390625
-1.9878;0.52773438;0.02734375
-1.9876;0.52578126;0.0234375
-1.9874;0.49414063;0.021484375
-1.9872;0.51328126;0.029296875
-1.987;0.52109376;0.0234375
-1.9868;0.51679688;0.025390625
-1.9866;0.53203126;0.037109375
-1.9864;0.50937501;0.02734375
-1.9862;0.52851563;0.02734375
-1.986;0.52617188;0.025390625
-1.9858;0.51210938;0.033203125
-1.9856;0.50859376;0.03125
-1.9854;0.51367188;0.025390625
-1.9852;0.50468751;0.029296875
-1.985;0.49960938;0.029296875
-1.9848;0.50429688;0.021484375
-1.9846;0.50429688;0.017578125
-1.9844;0.52031251;0.025390625
-1.9842;0.51757813;0.025390625
-1.984;0.54765626;0.01953125
-1.9838;0.51640626;0.02734375
-1.9836;0.52734376;0.01953125
-1.9834;0.52656251;0.03125
-1.9832;0.51523438;0.021484375
-1.983;0.53046876;0.0234375
-1.9828;0.51367188;0.03125
-1.9826;0.54218751;0.025390625
-1.9824;0.50820313;0.0234375
-1.9822;0.52148438;0.021484375
-1.982;0.53398438;0.02734375
-1.9818;0.51914063;0.01953125
-1.9816;0.52109376;0.03125
-1.9814;0.51875001;0.021484375
-1.9812;0.51796876;0.02734375
-1.981;0.52343751;0.01953125
-1.9808;0.51757813;0.0234375
-1.9806;0.51796876;0.02734375
-1.9804;0.52500001;0.025390625
-1.9802;0.50585938;0.01953125
-1.98;0.53476563;0.0234375
-1.9798;0.51445313;0.021484375
-1.9796;0.55976563;0.0234375
-1.9794;0.51523438;0.01953125
-1.9792;0.50507813;0.025390625
-1.979;0.53125001;0.02734375
-1.9788;0.51992188;0.021484375
-1.9786;0.51289063;0.025390625
-1.9784;0.51835938;0.0234375
-1.9782;0.52617188;0.0234375
-1.978;0.52031251;0.025390625
-1.9778;0.51250001;0.015625
-1.9776;0.52148438;0.029296875
-1.9774;0.51757813;0.025390625
-1.9772;0.50820313;0.021484375
-1.977;0.52343751;0.02734375
-1.9768;0.53359376;0.0234375
-1.9766;0.51523438;0.02734375
-1.9764;0.51718751;0.029296875
-1.9762;0.51406251;0.02734375
-1.976;0.51562501;0.01953125
-1.9758;0.52656251;0.033203125
-1.9756;0.51992188;0.01953125
-1.9754;0.52617188;0.02734375
-1.9752;0.51132813;0.025390625
-1.975;0.50976563;0.0234375
-1.9748;0.52343751;0.013671875
-1.9746;0.52031251;0.021484375
-1.9744;0.53281251;0.0234375
-1.9742;0.51015626;0.021484375
-1.974;0.52382813;0.021484375
-1.9738;0.50898438;0.03125
-1.9736;0.51523438;0.0234375
-1.9734;0.52070313;0.021484375
-1.9732;0.51562501;0.03125
-1.973;0.51289063;0.02734375
-1.9728;0.52460938;0.01953125
-1.9726;0.50820313;0.0234375
-1.9724;0.55312501;0.03515625
-1.9722;0.51992188;0.02734375
-1.972;0.51875001;0.025390625
-1.9718;0.55898438;0.02734375
-1.9716;0.51679688;0.029296875
-1.9714;0.51875001;0.021484375
-1.9712;0.53476563;0.02734375
-1.971;0.51484376;0.025390625
-1.9708;0.52187501;0.021484375
-1.9706;0.51484376;0.021484375
-1.9704;0.52187501;0.021484375
-1.9702;0.51562501;0.029296875
-1.97;0.52031251;0.021484375
-1.9698;0.51757813;0.01953125
-1.9696;0.51679688;0.025390625
-1.9694;0.51132813;0.017578125
-1.9692;0.51367188;0.025390625
-1.969;0.50781251;0.02734375
-1.9688;0.54179688;0.01953125
-1.9686;0.53085938;0.029296875
-1.9684;0.52695313;0.017578125
-1.9682;0.51562501;0.02734375
-1.968;0.50507813;0.021484375
-1.9678;0.51328126;0.03125
-1.9676;0.50976563;0.0234375
-1.9674;0.52578126;0.015625
-1.9672;0.48750001;0.02734375
-1.967;0.49335938;0.021484375
-1.9668;0.50781251;0.013671875
-1.9666;0.50703126;0.029296875
-1.9664;0.50351563;0.0234375
-1.9662;0.51054688;0.021484375
-1.966;0.50234376;0.01953125
-1.9658;0.51640626;0.025390625
-1.9656;0.51523438;0.025390625
-1.9654;0.51796876;0.025390625
-1.9652;0.53945313;0.01953125
-1.965;0.53007813;0.021484375
-1.9648;0.52031251;0.02734375
-1.9646;0.56914063;0.021484375
