Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-3.3407E-1	4.2603E-1	-3.3407E-1	1.3230E+3
-3.3394E-1	4.2383E-1	-3.3394E-1	1.2500E+3
-3.3382E-1	4.2383E-1	-3.3382E-1	7.1400E+2
-3.3370E-1	4.2188E-1	-3.3370E-1	1.2340E+3
-3.3370E-1	4.1968E-1	-3.3370E-1	1.0830E+3
-3.3358E-1	4.1943E-1	-3.3358E-1	9.5500E+2
-3.3346E-1	4.1772E-1	-3.3346E-1	4.0900E+2
-3.3333E-1	4.1748E-1	-3.3333E-1	1.2010E+3
-3.3321E-1	4.1650E-1	-3.3321E-1	1.4960E+3
-3.3309E-1	4.1626E-1	-3.3309E-1	1.3300E+3
-3.3297E-1	4.1479E-1	-3.3297E-1	9.4400E+2
-3.3285E-1	4.1479E-1	-3.3285E-1	9.0100E+2
-3.3285E-1	4.1455E-1	-3.3285E-1	1.5890E+3
-3.3272E-1	4.1357E-1	-3.3272E-1	1.1560E+3
-3.3260E-1	4.1187E-1	-3.3260E-1	1.8310E+3
-3.3248E-1	4.1309E-1	-3.3248E-1	4.2500E+2
-3.3236E-1	4.1040E-1	-3.3236E-1	1.0170E+3
-3.3223E-1	4.1016E-1	-3.3223E-1	9.9500E+2
-3.3211E-1	4.0796E-1	-3.3211E-1	1.1590E+3
-3.3199E-1	4.0894E-1	-3.3199E-1	6.3700E+2
-3.3199E-1	4.0723E-1	-3.3199E-1	8.2900E+2
-3.3187E-1	4.0723E-1	-3.3187E-1	8.7100E+2
-3.3175E-1	4.0503E-1	-3.3175E-1	5.2200E+2
-3.3162E-1	4.0332E-1	-3.3162E-1	1.5560E+3
-3.3150E-1	4.0283E-1	-3.3150E-1	1.0340E+3
-3.3138E-1	4.0308E-1	-3.3138E-1	1.3260E+3
-3.3126E-1	4.0161E-1	-3.3126E-1	1.0570E+3
-3.3114E-1	4.0186E-1	-3.3114E-1	1.1260E+3
-3.3114E-1	4.0137E-1	-3.3114E-1	1.2210E+3
-3.3101E-1	3.9819E-1	-3.3101E-1	1.3430E+3
-3.3089E-1	4.0015E-1	-3.3089E-1	7.4800E+2
-3.3077E-1	3.9868E-1	-3.3077E-1	8.8600E+2
-3.3065E-1	3.9966E-1	-3.3065E-1	1.0100E+3
-3.3053E-1	3.9746E-1	-3.3053E-1	1.1670E+3
-3.3040E-1	3.9697E-1	-3.3040E-1	1.4270E+3
-3.3040E-1	3.9624E-1	-3.3040E-1	1.0990E+3
-3.3028E-1	3.9673E-1	-3.3028E-1	1.0680E+3
-3.3016E-1	3.9404E-1	-3.3016E-1	9.7300E+2
-3.3004E-1	3.9526E-1	-3.3004E-1	4.3300E+2
-3.2992E-1	3.9185E-1	-3.2992E-1	8.9700E+2
-3.2979E-1	3.8940E-1	-3.2979E-1	1.1770E+3
-3.2967E-1	3.8989E-1	-3.2967E-1	9.9700E+2
-3.2955E-1	3.8843E-1	-3.2955E-1	1.3660E+3
-3.2955E-1	3.8794E-1	-3.2955E-1	1.0730E+3
-3.2943E-1	3.8818E-1	-3.2943E-1	6.4800E+2
-3.2930E-1	3.8721E-1	-3.2930E-1	1.0680E+3
-3.2918E-1	3.8525E-1	-3.2918E-1	1.1520E+3
-3.2906E-1	3.8477E-1	-3.2906E-1	1.2200E+3
-3.2894E-1	3.8647E-1	-3.2894E-1	9.6100E+2
