Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-5.2451E-1	7.5586E-1	-5.2451E-1	-8.8000E+1
-5.2426E-1	7.5684E-1	-5.2426E-1	-2.7600E+2
-5.2414E-1	7.5659E-1	-5.2414E-1	6.9900E+2
-5.2402E-1	7.5562E-1	-5.2402E-1	-8.6000E+1
-5.2377E-1	7.5537E-1	-5.2377E-1	1.4600E+2
-5.2365E-1	7.5586E-1	-5.2365E-1	-2.0500E+2
-5.2353E-1	7.5439E-1	-5.2353E-1	1.7200E+2
-5.2341E-1	7.5562E-1	-5.2341E-1	4.7300E+2
-5.2316E-1	7.5342E-1	-5.2316E-1	4.6000E+1
-5.2304E-1	7.5391E-1	-5.2304E-1	-8.1000E+1
-5.2292E-1	7.5366E-1	-5.2292E-1	1.4100E+2
-5.2268E-1	7.5171E-1	-5.2268E-1	6.2600E+2
-5.2255E-1	7.5098E-1	-5.2255E-1	-3.9000E+1
-5.2243E-1	7.5049E-1	-5.2243E-1	-7.0000E+1
-5.2231E-1	7.5073E-1	-5.2231E-1	3.2900E+2
-5.2207E-1	7.5220E-1	-5.2207E-1	3.3400E+2
-5.2194E-1	7.5098E-1	-5.2194E-1	-1.4400E+2
-5.2182E-1	7.4951E-1	-5.2182E-1	1.4000E+1
-5.2170E-1	7.4854E-1	-5.2170E-1	4.8900E+2
-5.2146E-1	7.5000E-1	-5.2146E-1	4.9000E+1
-5.2133E-1	7.4854E-1	-5.2133E-1	3.2800E+2
-5.2121E-1	7.4536E-1	-5.2121E-1	1.7400E+2
-5.2097E-1	7.4976E-1	-5.2097E-1	1.5900E+2
-5.2084E-1	7.4756E-1	-5.2084E-1	-1.0100E+2
-5.2072E-1	7.4536E-1	-5.2072E-1	6.8700E+2
-5.2060E-1	7.4438E-1	-5.2060E-1	-1.3500E+2
-5.2036E-1	7.4658E-1	-5.2036E-1	-4.0300E+2
-5.2023E-1	7.4561E-1	-5.2023E-1	4.2000E+1
-5.2011E-1	7.4683E-1	-5.2011E-1	8.4400E+2
-5.1987E-1	7.4268E-1	-5.1987E-1	2.3000E+1
-5.1975E-1	7.4341E-1	-5.1975E-1	-3.6000E+1
-5.1962E-1	7.4561E-1	-5.1962E-1	6.3000E+1
-5.1950E-1	7.4438E-1	-5.1950E-1	-4.8500E+2
-5.1926E-1	7.4194E-1	-5.1926E-1	1.1200E+2
-5.1914E-1	7.4390E-1	-5.1914E-1	-1.0800E+2
-5.1901E-1	7.4316E-1	-5.1901E-1	2.0000E+0
-5.1889E-1	7.4146E-1	-5.1889E-1	3.6000E+1
-5.1865E-1	7.4243E-1	-5.1865E-1	-3.1600E+2
-5.1853E-1	7.4194E-1	-5.1853E-1	1.0800E+2
-5.1840E-1	7.4292E-1	-5.1840E-1	1.5200E+2
-5.1816E-1	7.4219E-1	-5.1816E-1	-7.0900E+2
-5.1804E-1	7.4316E-1	-5.1804E-1	2.2500E+2
-5.1791E-1	7.4292E-1	-5.1791E-1	-4.9600E+2
-5.1779E-1	7.4341E-1	-5.1779E-1	-4.0200E+2
-5.1755E-1	7.4390E-1	-5.1755E-1	-1.0840E+3
-5.1743E-1	7.4341E-1	-5.1743E-1	-3.0500E+2
-5.1730E-1	7.4536E-1	-5.1730E-1	-7.3300E+2
-5.1718E-1	7.4463E-1	-5.1718E-1	-1.1840E+3
-5.1694E-1	7.4414E-1	-5.1694E-1	-9.3500E+2
-5.1682E-1	7.4634E-1	-5.1682E-1	-8.1800E+2
-5.1669E-1	7.4561E-1	-5.1669E-1	-7.0300E+2
-5.1645E-1	7.4609E-1	-5.1645E-1	-3.2700E+2
-5.1633E-1	7.4854E-1	-5.1633E-1	-4.0800E+2
