Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-3.4395E-1	4.9927E-1	-3.4395E-1	1.4690E+3
-3.4383E-1	4.9927E-1	-3.4383E-1	1.0960E+3
-3.4371E-1	4.9780E-1	-3.4371E-1	8.3500E+2
-3.4359E-1	4.9707E-1	-3.4359E-1	8.9000E+2
-3.4347E-1	4.9707E-1	-3.4347E-1	8.8600E+2
-3.4334E-1	4.9463E-1	-3.4334E-1	9.6000E+2
-3.4322E-1	4.9438E-1	-3.4322E-1	6.8900E+2
-3.4322E-1	4.9487E-1	-3.4322E-1	1.3140E+3
-3.4310E-1	4.9243E-1	-3.4310E-1	1.0120E+3
-3.4298E-1	4.9121E-1	-3.4298E-1	8.9300E+2
-3.4286E-1	4.9219E-1	-3.4286E-1	7.9300E+2
-3.4273E-1	4.8926E-1	-3.4273E-1	5.6300E+2
-3.4261E-1	4.8877E-1	-3.4261E-1	1.0660E+3
-3.4249E-1	4.9097E-1	-3.4249E-1	8.1900E+2
-3.4249E-1	4.8950E-1	-3.4249E-1	6.0900E+2
-3.4237E-1	4.8779E-1	-3.4237E-1	1.0740E+3
-3.4225E-1	4.8633E-1	-3.4225E-1	9.8100E+2
-3.4212E-1	4.8535E-1	-3.4212E-1	7.9100E+2
-3.4200E-1	4.8511E-1	-3.4200E-1	1.0810E+3
-3.4188E-1	4.8462E-1	-3.4188E-1	1.5560E+3
-3.4176E-1	4.8438E-1	-3.4176E-1	8.3500E+2
-3.4163E-1	4.8315E-1	-3.4163E-1	1.0530E+3
-3.4163E-1	4.8193E-1	-3.4163E-1	5.8400E+2
-3.4151E-1	4.8047E-1	-3.4151E-1	1.0500E+3
-3.4139E-1	4.7876E-1	-3.4139E-1	1.3680E+3
-3.4127E-1	4.7778E-1	-3.4127E-1	5.8600E+2
-3.4115E-1	4.7900E-1	-3.4115E-1	9.1400E+2
-3.4102E-1	4.7583E-1	-3.4102E-1	1.0430E+3
-3.4090E-1	4.7583E-1	-3.4090E-1	7.3300E+2
-3.4090E-1	4.7656E-1	-3.4090E-1	1.1500E+3
-3.4078E-1	4.7412E-1	-3.4078E-1	5.9800E+2
-3.4066E-1	4.7339E-1	-3.4066E-1	9.7000E+2
-3.4054E-1	4.7168E-1	-3.4054E-1	1.0500E+3
-3.4041E-1	4.7217E-1	-3.4041E-1	8.5300E+2
-3.4029E-1	4.7241E-1	-3.4029E-1	1.1410E+3
-3.4017E-1	4.7070E-1	-3.4017E-1	7.1500E+2
-3.4005E-1	4.7095E-1	-3.4005E-1	8.3500E+2
-3.4005E-1	4.7021E-1	-3.4005E-1	8.6800E+2
-3.3993E-1	4.6729E-1	-3.3993E-1	1.0990E+3
-3.3980E-1	4.6802E-1	-3.3980E-1	7.5700E+2
-3.3968E-1	4.6631E-1	-3.3968E-1	8.9500E+2
-3.3956E-1	4.6509E-1	-3.3956E-1	1.0280E+3
-3.3944E-1	4.6362E-1	-3.3944E-1	1.0930E+3
-3.3932E-1	4.6289E-1	-3.3932E-1	6.1800E+2
-3.3919E-1	4.6118E-1	-3.3919E-1	1.2440E+3
-3.3919E-1	4.6167E-1	-3.3919E-1	7.2800E+2
-3.3907E-1	4.6191E-1	-3.3907E-1	1.3740E+3
-3.3895E-1	4.5874E-1	-3.3895E-1	7.0800E+2
-3.3883E-1	4.5825E-1	-3.3883E-1	1.0900E+3
-3.3870E-1	4.5728E-1	-3.3870E-1	5.9300E+2
-3.3858E-1	4.5874E-1	-3.3858E-1	7.4400E+2
-3.3846E-1	4.5752E-1	-3.3846E-1	9.9700E+2
-3.3846E-1	4.5752E-1	-3.3846E-1	7.3700E+2
-3.3834E-1	4.5557E-1	-3.3834E-1	1.1730E+3
-3.3822E-1	4.5605E-1	-3.3822E-1	1.0080E+3
-3.3809E-1	4.5508E-1	-3.3809E-1	6.9800E+2
-3.3797E-1	4.5508E-1	-3.3797E-1	1.4380E+3
-3.3785E-1	4.5337E-1	-3.3785E-1	1.0000E+3
-3.3773E-1	4.5215E-1	-3.3773E-1	8.3900E+2
-3.3761E-1	4.4897E-1	-3.3761E-1	9.0100E+2
-3.3761E-1	4.4824E-1	-3.3761E-1	1.5960E+3
-3.3748E-1	4.4922E-1	-3.3748E-1	8.2800E+2
-3.3736E-1	4.4775E-1	-3.3736E-1	8.3500E+2
-3.3724E-1	4.4775E-1	-3.3724E-1	1.1840E+3
-3.3712E-1	4.4507E-1	-3.3712E-1	1.8900E+2
-3.3700E-1	4.4507E-1	-3.3700E-1	1.3590E+3
-3.3687E-1	4.4409E-1	-3.3687E-1	1.2120E+3
-3.3675E-1	4.4409E-1	-3.3675E-1	2.0500E+2
-3.3675E-1	4.4409E-1	-3.3675E-1	9.6100E+2
-3.3663E-1	4.4409E-1	-3.3663E-1	6.3700E+2
-3.3651E-1	4.4214E-1	-3.3651E-1	1.1240E+3
-3.3639E-1	4.4141E-1	-3.3639E-1	8.9800E+2
-3.3626E-1	4.4189E-1	-3.3626E-1	1.1090E+3
-3.3614E-1	4.4043E-1	-3.3614E-1	8.0200E+2
-3.3602E-1	4.3970E-1	-3.3602E-1	7.0200E+2
-3.3602E-1	4.4067E-1	-3.3602E-1	1.3560E+3
-3.3590E-1	4.3823E-1	-3.3590E-1	1.0320E+3
-3.3577E-1	4.3726E-1	-3.3577E-1	1.0520E+3
-3.3565E-1	4.3726E-1	-3.3565E-1	1.1920E+3
-3.3553E-1	4.3359E-1	-3.3553E-1	1.5050E+3
-3.3541E-1	4.3506E-1	-3.3541E-1	1.1280E+3
