Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.5438E-1	9.1064E-1	-5.8300E+2
-7.5243E-1	9.1040E-1	-4.4600E+2
-7.5047E-1	9.1162E-1	-6.8500E+2
-7.4852E-1	9.1089E-1	-1.2500E+2
-7.4632E-1	9.1040E-1	-6.8000E+2
-7.4437E-1	9.1333E-1	-1.3200E+2
-7.4242E-1	9.1089E-1	2.1600E+2
-7.4046E-1	9.1064E-1	-1.3400E+2
-7.3851E-1	9.0820E-1	-6.2300E+2
-7.3631E-1	9.1040E-1	1.0000E+1
-7.3436E-1	9.1162E-1	-8.9300E+2
-7.3241E-1	9.1064E-1	-3.5200E+2
-7.3045E-1	9.1187E-1	-4.3000E+1
-7.2850E-1	9.1113E-1	-5.8000E+2
-7.2630E-1	9.0894E-1	-5.8700E+2
-7.2435E-1	9.1113E-1	-4.0000E+2
-7.2240E-1	9.0967E-1	-1.9200E+2
-7.2044E-1	9.1309E-1	-6.1100E+2
-7.1849E-1	9.1187E-1	1.0000E+0
-7.1654E-1	9.1040E-1	-1.2800E+2
-7.1434E-1	9.0942E-1	-1.7000E+2
-7.1238E-1	9.0967E-1	-5.6900E+2
-7.1043E-1	9.1089E-1	-5.0900E+2
-7.0848E-1	9.0918E-1	-6.4800E+2
-7.0653E-1	9.1138E-1	5.4000E+1
-7.0433E-1	9.0869E-1	7.9000E+1
-7.0237E-1	9.0967E-1	-7.1800E+2
-7.0042E-1	9.0991E-1	-5.2000E+1
-6.9847E-1	9.1040E-1	3.5100E+2
-6.9651E-1	9.0918E-1	-3.3400E+2
-6.9456E-1	9.0894E-1	-4.8700E+2
-6.9236E-1	9.0967E-1	-1.0190E+3
-6.9041E-1	9.0747E-1	-4.3900E+2
-6.8846E-1	9.0869E-1	-6.3600E+2
-6.8650E-1	9.0894E-1	-2.4800E+2
-6.8455E-1	9.0918E-1	-3.2000E+2
-6.8235E-1	9.0967E-1	-8.0500E+2
-6.8040E-1	9.0771E-1	-1.7000E+2
-6.7845E-1	9.0723E-1	-3.4200E+2
-6.7649E-1	9.0918E-1	-4.3100E+2
-6.7454E-1	9.0820E-1	-1.0880E+3
-6.7259E-1	9.0820E-1	-5.0700E+2
-6.7039E-1	9.0820E-1	-8.8000E+1
-6.6844E-1	9.0991E-1	-3.3000E+2
-6.6648E-1	9.0698E-1	-6.1600E+2
-6.6453E-1	9.0747E-1	-9.1100E+2
-6.6258E-1	9.0698E-1	-5.5800E+2
-6.6038E-1	9.0747E-1	-6.0900E+2
-6.5843E-1	9.0820E-1	-8.5500E+2
-6.5647E-1	9.0820E-1	-9.3300E+2
-6.5452E-1	9.0796E-1	-2.6100E+2
-6.5257E-1	9.0601E-1	-3.6300E+2
-6.5061E-1	9.0698E-1	-3.9900E+2
-6.4842E-1	9.0771E-1	-6.0500E+2
-6.4646E-1	9.0552E-1	-3.2300E+2
-6.4451E-1	9.0601E-1	-6.4000E+2
-6.4256E-1	9.0625E-1	-5.6700E+2
-6.4060E-1	9.0601E-1	-2.9400E+2
-6.3841E-1	9.0527E-1	-3.5600E+2
-6.3645E-1	9.0552E-1	-1.2300E+2
-6.3450E-1	9.0503E-1	-2.1400E+2
-6.3255E-1	9.0234E-1	-3.7700E+2
-6.3059E-1	9.0259E-1	-5.6100E+2
-6.2864E-1	9.0332E-1	2.7600E+2
-6.2644E-1	9.0283E-1	-3.5000E+2
-6.2449E-1	9.0210E-1	-4.5900E+2
-6.2254E-1	9.0308E-1	-2.6100E+2
-6.2058E-1	9.0161E-1	-8.7000E+1
-6.1863E-1	9.0039E-1	-2.1900E+2
-6.1643E-1	8.9893E-1	-6.5300E+2
-6.1448E-1	8.9844E-1	-1.6100E+2
-6.1253E-1	8.9941E-1	-2.9000E+2
-6.1057E-1	8.9746E-1	-5.2500E+2
-6.0862E-1	8.9648E-1	-1.3500E+2
-6.0667E-1	8.9648E-1	-3.2300E+2
-6.0447E-1	8.9575E-1	-7.2500E+2
-6.0251E-1	8.9258E-1	-6.2700E+2
-6.0056E-1	8.9160E-1	-1.3900E+2
-5.9861E-1	8.9014E-1	6.3100E+2
-5.9666E-1	8.8843E-1	1.3900E+2
-5.9446E-1	8.8672E-1	-2.7000E+1
-5.9250E-1	8.8452E-1	-4.7400E+2
-5.9055E-1	8.8281E-1	-7.8500E+2
-5.8860E-1	8.7964E-1	4.5600E+2
-5.8664E-1	8.7793E-1	-8.9800E+2
-5.8469E-1	8.7769E-1	-4.8500E+2
-5.8249E-1	8.7305E-1	-4.4500E+2
-5.8054E-1	8.7158E-1	1.2500E+2
-5.7859E-1	8.6938E-1	-5.7000E+2
-5.7663E-1	8.6499E-1	4.0500E+2
-5.7468E-1	8.6206E-1	-5.8500E+2
-5.7248E-1	8.5938E-1	-1.8300E+2
-5.7053E-1	8.5645E-1	1.1200E+2
-5.6858E-1	8.5107E-1	-1.0600E+2
-5.6662E-1	8.4790E-1	2.3400E+2
-5.6467E-1	8.4424E-1	3.0000E+0
-5.6272E-1	8.3984E-1	-1.1000E+2
-5.6052E-1	8.3716E-1	3.7800E+2
-5.5857E-1	8.2886E-1	-4.6000E+1
-5.5661E-1	8.2520E-1	2.3000E+1
-5.5466E-1	8.2129E-1	-3.7000E+1
-5.5271E-1	8.1519E-1	1.7400E+2
-5.5051E-1	8.1201E-1	1.0400E+2
