Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
4.4198E-1	8.0322E-1	4.4198E-1	2.4700E+2
4.4210E-1	8.0151E-1	4.4210E-1	-3.7200E+2
4.4235E-1	8.0273E-1	4.4235E-1	-4.1200E+2
4.4247E-1	8.0273E-1	4.4247E-1	-2.5200E+2
4.4259E-1	8.0347E-1	4.4259E-1	4.5000E+1
4.4272E-1	8.0078E-1	4.4272E-1	1.8700E+2
4.4284E-1	8.0249E-1	4.4284E-1	1.9200E+2
4.4308E-1	8.0273E-1	4.4308E-1	-4.0300E+2
4.4320E-1	8.0078E-1	4.4320E-1	6.1100E+2
4.4333E-1	8.0103E-1	4.4333E-1	-3.4300E+2
4.4345E-1	8.0249E-1	4.4345E-1	5.7800E+2
4.4357E-1	8.0005E-1	4.4357E-1	-1.1500E+2
4.4381E-1	7.9932E-1	4.4381E-1	-2.9600E+2
4.4394E-1	7.9980E-1	4.4394E-1	3.1800E+2
4.4406E-1	7.9858E-1	4.4406E-1	4.2100E+2
4.4418E-1	8.0078E-1	4.4418E-1	-1.3500E+2
4.4430E-1	7.9761E-1	4.4430E-1	3.0800E+2
4.4442E-1	7.9932E-1	4.4442E-1	-9.0000E+1
4.4467E-1	8.0005E-1	4.4467E-1	-2.4600E+2
4.4479E-1	7.9736E-1	4.4479E-1	-1.4400E+2
4.4491E-1	7.9736E-1	4.4491E-1	5.6800E+2
4.4503E-1	7.9980E-1	4.4503E-1	3.0400E+2
4.4516E-1	7.9883E-1	4.4516E-1	4.6700E+2
4.4540E-1	7.9785E-1	4.4540E-1	-1.2100E+2
4.4552E-1	7.9907E-1	4.4552E-1	-2.3600E+2
4.4564E-1	7.9712E-1	4.4564E-1	5.4000E+1
4.4577E-1	7.9810E-1	4.4577E-1	4.7700E+2
4.4589E-1	7.9834E-1	4.4589E-1	-4.5800E+2
4.4613E-1	7.9736E-1	4.4613E-1	3.7100E+2
4.4626E-1	7.9614E-1	4.4626E-1	-5.5000E+1
4.4638E-1	7.9858E-1	4.4638E-1	-4.9400E+2
4.4650E-1	7.9736E-1	4.4650E-1	3.0400E+2
4.4662E-1	7.9614E-1	4.4662E-1	-3.1600E+2
4.4687E-1	7.9614E-1	4.4687E-1	-3.3200E+2
4.4699E-1	7.9639E-1	4.4699E-1	-6.0100E+2
4.4711E-1	7.9419E-1	4.4711E-1	2.3200E+2
4.4723E-1	7.9688E-1	4.4723E-1	2.7000E+1
4.4735E-1	7.9492E-1	4.4735E-1	-5.9400E+2
4.4760E-1	7.9419E-1	4.4760E-1	1.9200E+2
4.4772E-1	7.9517E-1	4.4772E-1	3.0000E+2
4.4784E-1	7.9199E-1	4.4784E-1	2.1300E+2
4.4796E-1	7.9395E-1	4.4796E-1	1.4500E+2
4.4809E-1	7.9370E-1	4.4809E-1	-1.8800E+2
4.4833E-1	7.9321E-1	4.4833E-1	2.8200E+2
4.4845E-1	7.9248E-1	4.4845E-1	-3.4700E+2
4.4857E-1	7.9272E-1	4.4857E-1	6.9000E+1
4.4870E-1	7.9150E-1	4.4870E-1	2.3700E+2
4.4882E-1	7.9199E-1	4.4882E-1	5.6500E+2
4.4906E-1	7.9248E-1	4.4906E-1	5.7700E+2
4.4919E-1	7.9175E-1	4.4919E-1	3.8000E+2
4.4931E-1	7.9199E-1	4.4931E-1	-2.1700E+2
4.4943E-1	7.9126E-1	4.4943E-1	1.0300E+2
4.4955E-1	7.9175E-1	4.4955E-1	-4.9200E+2
4.4980E-1	7.9028E-1	4.4980E-1	-2.1900E+2
4.4992E-1	7.9004E-1	4.4992E-1	6.1000E+1
4.5004E-1	7.8955E-1	4.5004E-1	-3.5000E+2
4.5016E-1	7.8979E-1	4.5016E-1	-8.3000E+1
4.5028E-1	7.8979E-1	4.5028E-1	1.9000E+1
4.5053E-1	7.8857E-1	4.5053E-1	7.3300E+2
4.5065E-1	7.9004E-1	4.5065E-1	-5.9600E+2
4.5077E-1	7.9004E-1	4.5077E-1	1.3000E+2
4.5089E-1	7.8931E-1	4.5089E-1	3.4400E+2
4.5102E-1	7.8833E-1	4.5102E-1	5.1100E+2
4.5126E-1	7.8809E-1	4.5126E-1	2.9000E+1
4.5138E-1	7.8711E-1	4.5138E-1	1.2000E+1
4.5150E-1	7.8784E-1	4.5150E-1	-2.2600E+2
4.5163E-1	7.8638E-1	4.5163E-1	1.4100E+2
4.5175E-1	7.8540E-1	4.5175E-1	-9.5000E+1
4.5199E-1	7.8638E-1	4.5199E-1	1.1800E+2
4.5211E-1	7.8687E-1	4.5211E-1	-3.4900E+2
4.5224E-1	7.8442E-1	4.5224E-1	-2.2300E+2
4.5236E-1	7.8613E-1	4.5236E-1	9.6000E+1
4.5248E-1	7.8638E-1	4.5248E-1	3.5400E+2
4.5273E-1	7.8589E-1	4.5273E-1	-4.3900E+2
4.5285E-1	7.8589E-1	4.5285E-1	-2.7900E+2
4.5297E-1	7.8491E-1	4.5297E-1	-2.5200E+2
4.5309E-1	7.8516E-1	4.5309E-1	7.2700E+2
4.5321E-1	7.8491E-1	4.5321E-1	-2.6300E+2
4.5346E-1	7.8516E-1	4.5346E-1	1.9100E+2
4.5358E-1	7.8320E-1	4.5358E-1	2.0000E+0
4.5370E-1	7.8271E-1	4.5370E-1	-1.3000E+2
4.5382E-1	7.8369E-1	4.5382E-1	-2.0400E+2
4.5395E-1	7.8296E-1	4.5395E-1	9.4000E+1
4.5419E-1	7.8296E-1	4.5419E-1	3.0800E+2
4.5431E-1	7.8149E-1	4.5431E-1	-3.9200E+2
4.5443E-1	7.8076E-1	4.5443E-1	6.8400E+2
4.5456E-1	7.8223E-1	4.5456E-1	2.5900E+2
4.5468E-1	7.8223E-1	4.5468E-1	-1.9500E+2
4.5492E-1	7.8076E-1	4.5492E-1	9.6000E+1
4.5504E-1	7.8076E-1	4.5504E-1	2.6900E+2
4.5517E-1	7.7954E-1	4.5517E-1	3.5800E+2
4.5529E-1	7.8198E-1	4.5529E-1	-2.2000E+2
4.5541E-1	7.8149E-1	4.5541E-1	4.4000E+2
4.5566E-1	7.7905E-1	4.5566E-1	1.4700E+2
4.5578E-1	7.7954E-1	4.5578E-1	-3.0100E+2
4.5590E-1	7.8027E-1	4.5590E-1	1.0100E+2
4.5602E-1	7.7808E-1	4.5602E-1	-3.9800E+2
4.5614E-1	7.7856E-1	4.5614E-1	3.8500E+2
4.5639E-1	7.7905E-1	4.5639E-1	1.7600E+2
4.5651E-1	7.7881E-1	4.5651E-1	2.3800E+2
4.5663E-1	7.8003E-1	4.5663E-1	1.1400E+2
4.5675E-1	7.7930E-1	4.5675E-1	5.2900E+2
4.5688E-1	7.7930E-1	4.5688E-1	1.7600E+2
4.5712E-1	7.7637E-1	4.5712E-1	-3.6500E+2
4.5724E-1	7.7832E-1	4.5724E-1	-8.0000E+0
4.5736E-1	7.7637E-1	4.5736E-1	6.9000E+1
4.5749E-1	7.7490E-1	4.5749E-1	1.8000E+1
4.5761E-1	7.7637E-1	4.5761E-1	-1.1400E+2
4.5773E-1	7.7612E-1	4.5773E-1	4.3300E+2
4.5797E-1	7.7515E-1	4.5797E-1	-2.5700E+2
4.5810E-1	7.7319E-1	4.5810E-1	5.4000E+2
4.5822E-1	7.7393E-1	4.5822E-1	2.2700E+2
4.5834E-1	7.7686E-1	4.5834E-1	1.0800E+2
4.5846E-1	7.7441E-1	4.5846E-1	-2.6100E+2
4.5871E-1	7.7441E-1	4.5871E-1	-2.8300E+2
4.5883E-1	7.7197E-1	4.5883E-1	-1.7700E+2
4.5895E-1	7.7393E-1	4.5895E-1	-3.3400E+2
4.5907E-1	7.7393E-1	4.5907E-1	-1.3500E+2
4.5920E-1	7.7271E-1	4.5920E-1	3.6700E+2
4.5944E-1	7.7368E-1	4.5944E-1	3.5800E+2
4.5956E-1	7.7075E-1	4.5956E-1	3.0900E+2
4.5968E-1	7.7148E-1	4.5968E-1	2.1000E+2
4.5981E-1	7.7075E-1	4.5981E-1	-4.3800E+2
4.5993E-1	7.7002E-1	4.5993E-1	2.9200E+2
4.6017E-1	7.6880E-1	4.6017E-1	3.5300E+2
4.6029E-1	7.7124E-1	4.6029E-1	3.1100E+2
4.6042E-1	7.6978E-1	4.6042E-1	-2.9700E+2
4.6054E-1	7.7002E-1	4.6054E-1	3.8800E+2
4.6066E-1	7.6978E-1	4.6066E-1	6.5100E+2
4.6090E-1	7.6880E-1	4.6090E-1	2.3800E+2
4.6103E-1	7.6904E-1	4.6103E-1	-6.2200E+2
4.6115E-1	7.7026E-1	4.6115E-1	3.9100E+2
4.6127E-1	7.6807E-1	4.6127E-1	-6.8300E+2
4.6139E-1	7.6978E-1	4.6139E-1	1.6000E+2
4.6151E-1	7.6733E-1	4.6151E-1	1.4300E+2
4.6176E-1	7.6758E-1	4.6176E-1	-8.3000E+1
4.6188E-1	7.6709E-1	4.6188E-1	-1.3300E+2
4.6200E-1	7.6855E-1	4.6200E-1	-2.4300E+2
4.6213E-1	7.6685E-1	4.6213E-1	1.9900E+2
4.6225E-1	7.6758E-1	4.6225E-1	-2.9000E+2
4.6249E-1	7.6733E-1	4.6249E-1	1.5200E+2
4.6261E-1	7.6611E-1	4.6261E-1	6.1000E+1
4.6274E-1	7.6733E-1	4.6274E-1	3.7600E+2
4.6286E-1	7.6514E-1	4.6286E-1	-9.8900E+2
4.6298E-1	7.6563E-1	4.6298E-1	-1.1550E+3
4.6322E-1	7.6538E-1	4.6322E-1	1.4400E+2
4.6335E-1	7.6440E-1	4.6335E-1	-2.3400E+2
4.6347E-1	7.6367E-1	4.6347E-1	-1.0100E+2
4.6359E-1	7.6489E-1	4.6359E-1	-1.7700E+2
4.6371E-1	7.6270E-1	4.6371E-1	1.2000E+2
4.6396E-1	7.6270E-1	4.6396E-1	1.8700E+2
4.6408E-1	7.6587E-1	4.6408E-1	-3.3000E+2
4.6420E-1	7.6392E-1	4.6420E-1	1.3400E+2
4.6432E-1	7.6343E-1	4.6432E-1	4.0500E+2
4.6444E-1	7.6343E-1	4.6444E-1	-6.4300E+2
4.6469E-1	7.6172E-1	4.6469E-1	3.2000E+1
4.6481E-1	7.6196E-1	4.6481E-1	3.1600E+2
4.6493E-1	7.6270E-1	4.6493E-1	-1.2600E+2
4.6506E-1	7.6074E-1	4.6506E-1	-2.8800E+2
4.6518E-1	7.5977E-1	4.6518E-1	-3.3000E+1
4.6542E-1	7.6001E-1	4.6542E-1	1.6000E+1
4.6554E-1	7.5977E-1	4.6554E-1	-1.8800E+2
4.6567E-1	7.5928E-1	4.6567E-1	-5.5600E+2
4.6579E-1	7.5928E-1	4.6579E-1	2.7600E+2
4.6591E-1	7.5928E-1	4.6591E-1	4.3800E+2
4.6615E-1	7.6025E-1	4.6615E-1	4.4900E+2
4.6628E-1	7.6001E-1	4.6628E-1	9.8800E+2
4.6640E-1	7.5903E-1	4.6640E-1	2.9200E+2
4.6652E-1	7.5903E-1	4.6652E-1	5.9000E+1
4.6664E-1	7.5879E-1	4.6664E-1	-3.6100E+2
4.6689E-1	7.5757E-1	4.6689E-1	1.6200E+2
4.6701E-1	7.5830E-1	4.6701E-1	-1.9700E+2
4.6713E-1	7.5659E-1	4.6713E-1	4.1000E+1
4.6725E-1	7.5635E-1	4.6725E-1	6.8000E+1
4.6737E-1	7.5854E-1	4.6737E-1	-2.2500E+2
4.6762E-1	7.5732E-1	4.6762E-1	-3.7000E+1
4.6774E-1	7.5513E-1	4.6774E-1	-2.2300E+2
4.6786E-1	7.5708E-1	4.6786E-1	-1.0600E+2
4.6799E-1	7.5610E-1	4.6799E-1	-7.7600E+2
4.6811E-1	7.5586E-1	4.6811E-1	3.0500E+2
4.6835E-1	7.5635E-1	4.6835E-1	4.6000E+2
4.6847E-1	7.5464E-1	4.6847E-1	1.1000E+2
4.6860E-1	7.5488E-1	4.6860E-1	-1.7400E+2
4.6872E-1	7.5684E-1	4.6872E-1	3.1900E+2
4.6884E-1	7.5439E-1	4.6884E-1	-6.2700E+2
4.6908E-1	7.5317E-1	4.6908E-1	-3.2700E+2
4.6921E-1	7.5244E-1	4.6921E-1	-4.6100E+2
4.6933E-1	7.5317E-1	4.6933E-1	-2.8100E+2
4.6945E-1	7.5122E-1	4.6945E-1	-1.7400E+2
4.6957E-1	7.5293E-1	4.6957E-1	1.7800E+2
4.6982E-1	7.5244E-1	4.6982E-1	-2.1200E+2
4.6994E-1	7.5098E-1	4.6994E-1	7.6000E+1
4.7006E-1	7.5073E-1	4.7006E-1	3.9400E+2
4.7018E-1	7.5220E-1	4.7018E-1	2.9600E+2
4.7030E-1	7.5073E-1	4.7030E-1	-5.2000E+1
4.7055E-1	7.4976E-1	4.7055E-1	-3.2100E+2
4.7067E-1	7.5000E-1	4.7067E-1	3.2500E+2
4.7079E-1	7.5000E-1	4.7079E-1	9.4000E+1
4.7091E-1	7.5024E-1	4.7091E-1	8.5000E+1
4.7104E-1	7.4902E-1	4.7104E-1	5.7100E+2
4.7128E-1	7.4805E-1	4.7128E-1	1.3600E+2
4.7140E-1	7.5024E-1	4.7140E-1	3.3300E+2
4.7153E-1	7.4780E-1	4.7153E-1	-4.0000E+1
4.7165E-1	7.4902E-1	4.7165E-1	4.6700E+2
4.7177E-1	7.4780E-1	4.7177E-1	4.0400E+2
4.7201E-1	7.4756E-1	4.7201E-1	4.3400E+2
4.7214E-1	7.4683E-1	4.7214E-1	-1.7800E+2
4.7226E-1	7.4927E-1	4.7226E-1	-1.1200E+2
4.7238E-1	7.4756E-1	4.7238E-1	1.6000E+1
4.7250E-1	7.4780E-1	4.7250E-1	-3.0200E+2
4.7275E-1	7.4756E-1	4.7275E-1	1.2500E+2
4.7287E-1	7.4658E-1	4.7287E-1	1.7100E+2
4.7299E-1	7.4585E-1	4.7299E-1	-7.0000E+1
4.7311E-1	7.4609E-1	4.7311E-1	-3.6100E+2
4.7323E-1	7.4707E-1	4.7323E-1	2.8000E+1
4.7348E-1	7.4463E-1	4.7348E-1	1.0900E+2
4.7360E-1	7.4512E-1	4.7360E-1	-2.0100E+2
4.7372E-1	7.4341E-1	4.7372E-1	-1.5700E+2
4.7384E-1	7.4438E-1	4.7384E-1	3.6000E+1
4.7397E-1	7.4438E-1	4.7397E-1	2.1200E+2
4.7409E-1	7.4463E-1	4.7409E-1	2.2000E+2
4.7433E-1	7.4390E-1	4.7433E-1	1.0800E+2
4.7446E-1	7.4463E-1	4.7446E-1	1.6900E+2
4.7458E-1	7.4170E-1	4.7458E-1	-2.5000E+2
