Aux out [V]	Aux in [V]	PDH out [a.u.]
-6.6648E-1	9.0869E-1	-4.3300E+2
-6.6453E-1	9.0845E-1	-6.1800E+2
-6.6258E-1	9.0796E-1	-1.1360E+3
-6.6038E-1	9.0771E-1	-3.4500E+2
-6.5843E-1	9.0698E-1	-8.4300E+2
-6.5647E-1	9.0552E-1	-7.0700E+2
-6.5452E-1	9.0820E-1	-8.2900E+2
-6.5257E-1	9.0723E-1	-4.7200E+2
-6.5061E-1	9.0723E-1	-6.8300E+2
-6.4842E-1	9.0674E-1	-2.9600E+2
-6.4646E-1	9.0649E-1	-4.7400E+2
-6.4451E-1	9.0625E-1	-6.1800E+2
-6.4256E-1	9.0723E-1	-1.9200E+2
-6.4060E-1	9.0454E-1	-2.7000E+2
-6.3841E-1	9.0601E-1	-5.0700E+2
-6.3645E-1	9.0454E-1	-1.3900E+2
-6.3450E-1	9.0576E-1	2.1000E+1
-6.3255E-1	9.0527E-1	-1.7000E+1
-6.3059E-1	9.0479E-1	-4.4700E+2
-6.2864E-1	9.0283E-1	5.6000E+1
-6.2644E-1	9.0259E-1	-4.4100E+2
-6.2449E-1	9.0210E-1	-5.8200E+2
-6.2254E-1	9.0161E-1	-4.6000E+1
-6.2058E-1	9.0039E-1	-2.8800E+2
-6.1863E-1	8.9990E-1	-3.9400E+2
-6.1643E-1	8.9893E-1	-3.3600E+2
-6.1448E-1	9.0063E-1	9.7000E+1
-6.1253E-1	8.9893E-1	-3.8600E+2
-6.1057E-1	8.9600E-1	2.8700E+2
-6.0862E-1	8.9722E-1	-3.1500E+2
-6.0667E-1	8.9502E-1	-5.3200E+2
-6.0447E-1	8.9380E-1	2.9100E+2
-6.0251E-1	8.9307E-1	-1.0270E+3
-6.0056E-1	8.8916E-1	-3.2300E+2
-5.9861E-1	8.8965E-1	-1.3900E+2
-5.9666E-1	8.8892E-1	-4.8500E+2
-5.9446E-1	8.8794E-1	-5.4300E+2
-5.9250E-1	8.8550E-1	3.0500E+2
-5.9055E-1	8.8306E-1	-1.5000E+2
-5.8860E-1	8.8013E-1	-6.6100E+2
-5.8664E-1	8.7866E-1	6.5500E+2
-5.8469E-1	8.7646E-1	-4.5200E+2
-5.8249E-1	8.7500E-1	-7.0100E+2
-5.8054E-1	8.7109E-1	3.6000E+1
-5.7859E-1	8.6816E-1	-1.1900E+2
-5.7663E-1	8.6499E-1	-8.1000E+1
-5.7468E-1	8.6133E-1	2.8200E+2
-5.7248E-1	8.5962E-1	2.2500E+2
-5.7053E-1	8.5522E-1	3.1400E+2
-5.6858E-1	8.5229E-1	-9.0000E+0
-5.6662E-1	8.4692E-1	-1.4900E+2
-5.6467E-1	8.4326E-1	-5.4700E+2
-5.6272E-1	8.3936E-1	4.3300E+2
-5.6052E-1	8.3496E-1	-4.1400E+2
-5.5857E-1	8.2886E-1	9.8300E+2
-5.5661E-1	8.2397E-1	-3.7000E+1
-5.5466E-1	8.1885E-1	-9.0200E+2
-5.5271E-1	8.1250E-1	6.7000E+1
-5.5051E-1	8.0713E-1	2.3200E+2
-5.4856E-1	8.0127E-1	1.6800E+2
-5.4660E-1	7.9492E-1	8.0200E+2
-5.4465E-1	7.8857E-1	2.3000E+2
-5.4270E-1	7.8223E-1	-4.4500E+2
-5.4074E-1	7.7783E-1	4.9000E+1
-5.3855E-1	7.6831E-1	1.3500E+2
-5.3659E-1	7.6147E-1	-1.5000E+2
-5.3464E-1	7.5439E-1	6.8400E+2
-5.3269E-1	7.4609E-1	2.8700E+2
-5.3073E-1	7.3779E-1	2.8300E+2
-5.2854E-1	7.2974E-1	-4.5000E+1
-5.2658E-1	7.2266E-1	3.0900E+2
-5.2463E-1	7.1216E-1	5.9300E+2
-5.2268E-1	7.0532E-1	4.3400E+2
-5.2072E-1	6.9531E-1	3.4200E+2
-5.1877E-1	6.8677E-1	1.9100E+2
-5.1657E-1	6.7700E-1	3.6100E+2
-5.1462E-1	6.7041E-1	2.9400E+2
-5.1267E-1	6.6235E-1	3.3400E+2
-5.1071E-1	6.5527E-1	2.7100E+2
-5.0876E-1	6.4429E-1	8.2400E+2
-5.0656E-1	6.3721E-1	5.9300E+2
-5.0461E-1	6.2842E-1	5.3800E+2
-5.0266E-1	6.2012E-1	3.2900E+2
-5.0070E-1	6.1499E-1	8.7000E+1
-4.9875E-1	6.0522E-1	4.8500E+2
-4.9680E-1	5.9790E-1	2.9300E+2
-4.9460E-1	5.8887E-1	4.5100E+2
-4.9264E-1	5.8374E-1	1.8300E+2
-4.9069E-1	5.7666E-1	4.6000E+1
-4.8874E-1	5.7178E-1	-2.2800E+2
-4.8679E-1	5.6763E-1	-1.1900E+2
-4.8459E-1	5.5811E-1	2.2300E+2
-4.8263E-1	5.5322E-1	1.0000E+0
-4.8068E-1	5.5054E-1	-6.7500E+2
-4.7873E-1	5.4639E-1	-6.7300E+2
-4.7677E-1	5.4395E-1	-6.4000E+1
-4.7458E-1	5.4126E-1	-4.0000E+0
-4.7262E-1	5.3931E-1	2.9900E+2
-4.7067E-1	5.3784E-1	-5.0700E+2
-4.6872E-1	5.3711E-1	3.3500E+2
-4.6676E-1	5.3638E-1	-2.7800E+2
-4.6481E-1	5.3687E-1	-3.2300E+2
-4.6261E-1	5.3687E-1	-2.2700E+2
-4.6066E-1	5.4077E-1	-1.7900E+2
-4.5871E-1	5.4150E-1	-1.7900E+2
-4.5675E-1	5.4614E-1	-4.5100E+2
-4.5480E-1	5.4883E-1	-7.3600E+2
-4.5260E-1	5.5298E-1	-1.8300E+2
-4.5065E-1	5.5762E-1	-1.7800E+2
-4.4870E-1	5.6226E-1	-8.8000E+2
-4.4674E-1	5.6885E-1	-4.7600E+2
-4.4479E-1	5.7520E-1	-6.9100E+2
-4.4284E-1	5.7983E-1	-1.0190E+3
-4.4064E-1	5.8862E-1	-9.3000E+2
-4.3869E-1	5.9595E-1	-3.5200E+2
-4.3673E-1	6.0254E-1	-7.8900E+2
-4.3478E-1	6.1450E-1	-2.6500E+2
-4.3283E-1	6.2549E-1	-1.4520E+3
-4.3063E-1	6.3330E-1	-7.0400E+2
-4.2868E-1	6.4478E-1	-8.8200E+2
-4.2672E-1	6.5381E-1	-7.4200E+2
-4.2477E-1	6.6333E-1	-8.3500E+2
-4.2282E-1	6.7407E-1	-8.0200E+2
-4.2086E-1	6.8359E-1	-7.8200E+2
-4.1867E-1	6.9312E-1	-1.3100E+3
-4.1671E-1	7.0386E-1	-1.3430E+3
-4.1476E-1	7.1387E-1	-1.1310E+3
-4.1281E-1	7.2559E-1	-1.2100E+3
-4.1085E-1	7.3413E-1	-9.3500E+2
-4.0866E-1	7.4219E-1	-1.1530E+3
-4.0670E-1	7.5122E-1	-4.6900E+2
-4.0475E-1	7.6294E-1	-8.5300E+2
-4.0280E-1	7.6782E-1	-7.5500E+2
-4.0084E-1	7.7563E-1	-8.6900E+2
-3.9889E-1	7.8589E-1	-8.4000E+2
-3.9669E-1	7.9224E-1	-5.0900E+2
-3.9474E-1	7.9980E-1	-7.0900E+2
-3.9279E-1	8.0518E-1	-2.1000E+2
-3.9083E-1	8.1030E-1	-8.5600E+2
-3.8888E-1	8.1641E-1	-5.3400E+2
-3.8668E-1	8.1958E-1	-7.1300E+2
-3.8473E-1	8.2300E-1	-1.4100E+2
-3.8277E-1	8.2544E-1	8.1000E+1
-3.8082E-1	8.2715E-1	-1.7700E+2
-3.7887E-1	8.2690E-1	-6.8200E+2
-3.7692E-1	8.2935E-1	-1.5000E+1
-3.7472E-1	8.2715E-1	-3.9600E+2
-3.7276E-1	8.2764E-1	-2.8800E+2
-3.7081E-1	8.2764E-1	-1.9700E+2
-3.6886E-1	8.2300E-1	3.0000E+0
-3.6690E-1	8.2080E-1	-4.0700E+2
-3.6471E-1	8.1567E-1	-2.7800E+2
-3.6275E-1	8.1128E-1	3.7400E+2
-3.6080E-1	8.0542E-1	-2.1000E+1
-3.5885E-1	7.9761E-1	1.3100E+2
-3.5689E-1	7.8979E-1	1.7200E+2
-3.5494E-1	7.8149E-1	1.2000E+2
-3.5274E-1	7.7344E-1	4.3100E+2
-3.5079E-1	7.6147E-1	4.1300E+2
-3.4884E-1	7.5049E-1	9.3300E+2
-3.4688E-1	7.3926E-1	5.2400E+2
-3.4493E-1	7.2656E-1	6.6600E+2
-3.4273E-1	7.1191E-1	1.0250E+3
-3.4078E-1	6.9824E-1	9.6400E+2
-3.3883E-1	6.8140E-1	6.2600E+2
-3.3687E-1	6.6455E-1	7.4600E+2
-3.3492E-1	6.4771E-1	9.3900E+2
-3.3297E-1	6.3208E-1	5.5300E+2
-3.3077E-1	6.1621E-1	1.3480E+3
-3.2882E-1	5.9497E-1	1.5450E+3
-3.2686E-1	5.7788E-1	1.2390E+3
-3.2491E-1	5.6006E-1	8.3900E+2
-3.2296E-1	5.4004E-1	1.1770E+3
-3.2076E-1	5.2002E-1	1.0320E+3
-3.1881E-1	5.0122E-1	1.1340E+3
-3.1685E-1	4.8340E-1	1.2010E+3
-3.1490E-1	4.6387E-1	1.1680E+3
-3.1295E-1	4.4531E-1	1.3830E+3
-3.1099E-1	4.2798E-1	1.3410E+3
-3.0880E-1	4.1138E-1	9.0200E+2
-3.0684E-1	3.9429E-1	3.7200E+2
-3.0489E-1	3.7622E-1	1.0950E+3
-3.0294E-1	3.6182E-1	1.2900E+3
-3.0098E-1	3.4595E-1	1.2660E+3
-2.9879E-1	3.3203E-1	4.0400E+2
-2.9683E-1	3.1860E-1	1.0420E+3
-2.9488E-1	3.0713E-1	4.6900E+2
-2.9293E-1	2.9492E-1	4.7600E+2
-2.9097E-1	2.8418E-1	3.7600E+2
-2.8902E-1	2.7344E-1	3.0700E+2
-2.8682E-1	2.6538E-1	8.4400E+2
-2.8487E-1	2.5781E-1	5.8200E+2
-2.8292E-1	2.4951E-1	4.8200E+2
-2.8096E-1	2.4194E-1	2.7600E+2
-2.7901E-1	2.3828E-1	2.1900E+2
-2.7681E-1	2.3071E-1	5.9200E+2
-2.7486E-1	2.2949E-1	3.1600E+2
-2.7290E-1	2.2632E-1	4.6300E+2
-2.7095E-1	2.2290E-1	-5.0000E+1
-2.6900E-1	2.2241E-1	3.3200E+2
-2.6705E-1	2.2192E-1	5.8400E+2
-2.6485E-1	2.2095E-1	-2.5000E+2
-2.6289E-1	2.2437E-1	-2.3600E+2
-2.6094E-1	2.2412E-1	-6.3500E+2
-2.5899E-1	2.2754E-1	-8.1000E+1
-2.5703E-1	2.3120E-1	-4.8500E+2
-2.5484E-1	2.3535E-1	-9.6300E+2
-2.5288E-1	2.3975E-1	-4.3300E+2
-2.5093E-1	2.4780E-1	-3.0000E+2
-2.4898E-1	2.5781E-1	-7.4200E+2
-2.4702E-1	2.6294E-1	-7.4600E+2
-2.4507E-1	2.7368E-1	-5.4700E+2
-2.4287E-1	2.8394E-1	-1.0300E+3
-2.4092E-1	2.9419E-1	-7.1300E+2
-2.3897E-1	3.0640E-1	-5.5100E+2
-2.3701E-1	3.2007E-1	-1.5470E+3
-2.3506E-1	3.3496E-1	-9.6100E+2
-2.3286E-1	3.4814E-1	-1.3900E+3
-2.3091E-1	3.6353E-1	-1.8890E+3
-2.2896E-1	3.7915E-1	-1.8620E+3
-2.2700E-1	3.9697E-1	-1.4430E+3
-2.2505E-1	4.1479E-1	-1.5070E+3
-2.2285E-1	4.3066E-1	-1.7200E+3
-2.2090E-1	4.5044E-1	-1.2870E+3
-2.1895E-1	4.6753E-1	-1.0210E+3
-2.1699E-1	4.8877E-1	-1.5710E+3
-2.1504E-1	5.0781E-1	-1.5850E+3
-2.1309E-1	5.2881E-1	-1.5540E+3
-2.1089E-1	5.5029E-1	-1.8380E+3
-2.0894E-1	5.6909E-1	-1.5580E+3
-2.0698E-1	5.8691E-1	-1.0920E+3
-2.0503E-1	6.0718E-1	-1.3300E+3
-2.0308E-1	6.2573E-1	-1.2790E+3
-2.0088E-1	6.4209E-1	-1.5810E+3
-1.9893E-1	6.6016E-1	-1.3410E+3
-1.9697E-1	6.7969E-1	-1.1130E+3
-1.9502E-1	6.9409E-1	-1.4090E+3
-1.9307E-1	7.1094E-1	-1.2630E+3
-1.9111E-1	7.2607E-1	-1.5990E+3
-1.8892E-1	7.3828E-1	-1.3370E+3
-1.8696E-1	7.5342E-1	-8.7100E+2
-1.8501E-1	7.6367E-1	-1.0770E+3
-1.8306E-1	7.7637E-1	-9.0500E+2
-1.8110E-1	7.8906E-1	-1.1520E+3
-1.7890E-1	7.9932E-1	-1.2610E+3
-1.7695E-1	8.0518E-1	-1.2570E+3
-1.7500E-1	8.1592E-1	-1.1370E+3
-1.7305E-1	8.2495E-1	-9.2000E+2
-1.7109E-1	8.3105E-1	-3.8300E+2
-1.6914E-1	8.3789E-1	-7.2200E+2
-1.6694E-1	8.4180E-1	-7.2000E+2
-1.6499E-1	8.4717E-1	-6.3800E+2
-1.6303E-1	8.5425E-1	-8.0000E+2
-1.6108E-1	8.5522E-1	-9.9000E+2
-1.5913E-1	8.5986E-1	-2.1800E+2
-1.5693E-1	8.6572E-1	-3.8300E+2
-1.5498E-1	8.6743E-1	-7.1300E+2
-1.5302E-1	8.6890E-1	-4.8500E+2
-1.5107E-1	8.7378E-1	-4.7200E+2
-1.4912E-1	8.7598E-1	-2.3400E+2
-1.4716E-1	8.7622E-1	-3.5000E+2
-1.4497E-1	8.7939E-1	-6.1100E+2
-1.4301E-1	8.7891E-1	-6.8200E+2
-1.4106E-1	8.8086E-1	-7.2500E+2
-1.3911E-1	8.8232E-1	-5.9800E+2
-1.3715E-1	8.8257E-1	-4.5000E+2
-1.3496E-1	8.8281E-1	-2.6300E+2
-1.3300E-1	8.8306E-1	-2.6100E+2
-1.3105E-1	8.8281E-1	-2.9700E+2
-1.2910E-1	8.8403E-1	-4.0300E+2
-1.2714E-1	8.8428E-1	-1.2000E+1
-1.2519E-1	8.8501E-1	-8.1600E+2
-1.2299E-1	8.8550E-1	-7.5300E+2
-1.2104E-1	8.8428E-1	1.8900E+2
-1.1909E-1	8.8428E-1	-7.5400E+2
-1.1713E-1	8.8599E-1	-7.1100E+2
-1.1518E-1	8.8550E-1	-1.5000E+2
-1.1298E-1	8.8501E-1	-3.2000E+1
-1.1103E-1	8.8452E-1	-8.8000E+1
-1.0908E-1	8.8672E-1	-6.8900E+2
-1.0712E-1	8.8428E-1	-3.1600E+2
-1.0517E-1	8.8501E-1	-5.4000E+1
-1.0322E-1	8.8452E-1	1.5000E+1
-1.0102E-1	8.8550E-1	1.9000E+1
-9.9066E-2	8.8574E-1	-2.8700E+2
-9.7113E-2	8.8403E-1	-5.0900E+2
-9.5160E-2	8.8599E-1	-3.7400E+2
-9.3206E-2	8.8599E-1	-4.6000E+2
-9.1009E-2	8.8428E-1	-3.0100E+2
-8.9056E-2	8.8501E-1	-1.9100E+2
-8.7102E-2	8.8696E-1	-2.9200E+2
-8.5149E-2	8.8525E-1	-7.0200E+2
-8.3196E-2	8.8306E-1	-8.8000E+2
-8.1243E-2	8.8696E-1	7.4000E+1
-7.9045E-2	8.8330E-1	-5.5400E+2
-7.7092E-2	8.8403E-1	2.1400E+2
-7.5139E-2	8.8354E-1	-1.1200E+2
-7.3186E-2	8.8330E-1	6.8000E+1
-7.1232E-2	8.8330E-1	-8.9600E+2
-6.9035E-2	8.8599E-1	-3.1700E+2
-6.7082E-2	8.8281E-1	-3.8700E+2
-6.5128E-2	8.8208E-1	-2.1000E+2
-6.3175E-2	8.8330E-1	-9.2000E+2
-6.1222E-2	8.8257E-1	-2.1200E+2
-5.9269E-2	8.8354E-1	-3.0300E+2
-5.7071E-2	8.8403E-1	-1.3400E+2
-5.5118E-2	8.8086E-1	-1.0400E+2
-5.3165E-2	8.8379E-1	-4.9000E+2
-5.1212E-2	8.8232E-1	1.1000E+1
-4.9258E-2	8.8184E-1	-8.7900E+2
-4.7061E-2	8.8208E-1	-2.0800E+2
-4.5108E-2	8.8232E-1	-2.2700E+2
-4.3154E-2	8.8281E-1	-4.0700E+2
-4.1201E-2	8.8257E-1	8.7000E+1
-3.9248E-2	8.8330E-1	-6.3400E+2
-3.7295E-2	8.8037E-1	-4.0300E+2
-3.5097E-2	8.8257E-1	-7.4200E+2
-3.3144E-2	8.8086E-1	2.5000E+1
-3.1191E-2	8.8257E-1	-1.8300E+2
-2.9238E-2	8.8330E-1	8.8000E+1
-2.7284E-2	8.8110E-1	-7.1600E+2
-2.5087E-2	8.8232E-1	-1.3000E+1
-2.3134E-2	8.8257E-1	-8.0000E+2
-2.1180E-2	8.8232E-1	-4.3400E+2
-1.9227E-2	8.8086E-1	-5.5000E+1
-1.7274E-2	8.8086E-1	-1.1200E+2
-1.5321E-2	8.7964E-1	-2.1200E+2
-1.3123E-2	8.8208E-1	-3.5400E+2
-1.1170E-2	8.8135E-1	-6.7400E+2
-9.2169E-3	8.8232E-1	-2.9700E+2
-7.2636E-3	8.8013E-1	-4.1600E+2
-5.3104E-3	8.8110E-1	-2.3400E+2
-3.1130E-3	8.8086E-1	-6.8700E+2
-1.1597E-3	8.7866E-1	-2.5600E+2
6.7143E-4	8.8110E-1	-3.5100E+2
2.6247E-3	8.7964E-1	-2.3400E+2
4.5779E-3	8.8013E-1	-3.4900E+2
6.5312E-3	8.8013E-1	-6.1800E+2
8.7286E-3	8.8062E-1	-8.2500E+2
1.0682E-2	8.8037E-1	-7.6000E+2
1.2635E-2	8.8013E-1	-9.7000E+1
1.4588E-2	8.7744E-1	-5.6900E+2
1.6542E-2	8.7964E-1	1.7200E+2
1.8739E-2	8.7769E-1	-6.7400E+2
2.0692E-2	8.7769E-1	-7.3500E+2
2.2645E-2	8.8013E-1	-1.4700E+2
2.4599E-2	8.7817E-1	-2.5700E+2
2.6552E-2	8.7842E-1	-8.0200E+2
2.8505E-2	8.7842E-1	1.9200E+2
3.0703E-2	8.7793E-1	-5.1600E+2
3.2656E-2	8.7769E-1	-9.7500E+2
3.4609E-2	8.7744E-1	-1.0500E+2
3.6562E-2	8.7793E-1	-7.9100E+2
3.8516E-2	8.7769E-1	-2.6700E+2
4.0713E-2	8.7915E-1	-7.0400E+2
4.2666E-2	8.7695E-1	-3.1000E+2
4.4619E-2	8.7769E-1	-4.7200E+2
4.6573E-2	8.7598E-1	-3.6600E+2
4.8526E-2	8.7622E-1	-2.3700E+2
5.0723E-2	8.7646E-1	-6.7300E+2
5.2677E-2	8.7695E-1	-6.7400E+2
5.4630E-2	8.7476E-1	-4.9600E+2
5.6583E-2	8.7817E-1	-1.4300E+2
5.8536E-2	8.7817E-1	-4.5100E+2
6.0490E-2	8.7476E-1	-1.4500E+2
6.2687E-2	8.7646E-1	-1.1900E+2
6.4640E-2	8.7671E-1	-2.7600E+2
6.6593E-2	8.7549E-1	1.1600E+2
6.8547E-2	8.7500E-1	-7.7300E+2
7.0500E-2	8.7598E-1	-3.1200E+2
7.2697E-2	8.7476E-1	-1.0900E+3
7.4651E-2	8.7744E-1	-2.3400E+2
7.6604E-2	8.7402E-1	-6.1100E+2
7.8557E-2	8.7476E-1	-4.7400E+2
8.0510E-2	8.7598E-1	4.8000E+1
8.2464E-2	8.7573E-1	-1.7200E+2
8.4661E-2	8.7427E-1	-5.8000E+2
