Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
1.1640E-1	5.4883E-1	1.1640E-1	2.1460E+3
1.1652E-1	5.4761E-1	1.1652E-1	1.4650E+3
1.1665E-1	5.4761E-1	1.1665E-1	9.9500E+2
1.1665E-1	5.4785E-1	1.1665E-1	1.3450E+3
1.1677E-1	5.4688E-1	1.1677E-1	1.6130E+3
1.1689E-1	5.4761E-1	1.1689E-1	1.3510E+3
1.1701E-1	5.4810E-1	1.1701E-1	1.4250E+3
1.1701E-1	5.4712E-1	1.1701E-1	1.4740E+3
1.1713E-1	5.4590E-1	1.1713E-1	1.7840E+3
1.1726E-1	5.4541E-1	1.1726E-1	1.6550E+3
1.1726E-1	5.4541E-1	1.1726E-1	1.5690E+3
1.1738E-1	5.4614E-1	1.1738E-1	1.1500E+3
1.1750E-1	5.4517E-1	1.1750E-1	1.6800E+3
1.1762E-1	5.4395E-1	1.1762E-1	1.4490E+3
1.1762E-1	5.4272E-1	1.1762E-1	1.4400E+3
1.1774E-1	5.4321E-1	1.1774E-1	1.3780E+3
1.1787E-1	5.4199E-1	1.1787E-1	1.4330E+3
1.1787E-1	5.4199E-1	1.1787E-1	1.3600E+3
1.1799E-1	5.4150E-1	1.1799E-1	1.5640E+3
1.1811E-1	5.4102E-1	1.1811E-1	1.3900E+3
1.1811E-1	5.4150E-1	1.1811E-1	1.5310E+3
1.1823E-1	5.4004E-1	1.1823E-1	1.3370E+3
1.1835E-1	5.4175E-1	1.1835E-1	2.2240E+3
1.1848E-1	5.4077E-1	1.1848E-1	1.9770E+3
1.1848E-1	5.4004E-1	1.1848E-1	2.0140E+3
1.1860E-1	5.4175E-1	1.1860E-1	1.1810E+3
1.1872E-1	5.4102E-1	1.1872E-1	1.6870E+3
1.1872E-1	5.3979E-1	1.1872E-1	1.7310E+3
1.1884E-1	5.3955E-1	1.1884E-1	1.7870E+3
1.1896E-1	5.3882E-1	1.1896E-1	1.2790E+3
1.1909E-1	5.3760E-1	1.1909E-1	1.8400E+3
1.1909E-1	5.3735E-1	1.1909E-1	1.4330E+3
1.1921E-1	5.3760E-1	1.1921E-1	1.4300E+3
1.1933E-1	5.3589E-1	1.1933E-1	8.8800E+2
1.1933E-1	5.3540E-1	1.1933E-1	2.1260E+3
1.1945E-1	5.3638E-1	1.1945E-1	1.1900E+3
1.1958E-1	5.3711E-1	1.1958E-1	1.4720E+3
1.1970E-1	5.3540E-1	1.1970E-1	1.7330E+3
1.1970E-1	5.3271E-1	1.1970E-1	1.7980E+3
1.1982E-1	5.3149E-1	1.1982E-1	1.9660E+3
1.1994E-1	5.3369E-1	1.1994E-1	1.5110E+3
1.1994E-1	5.3369E-1	1.1994E-1	1.3360E+3
1.2006E-1	5.3101E-1	1.2006E-1	1.3870E+3
1.2019E-1	5.3149E-1	1.2019E-1	1.6250E+3
1.2019E-1	5.3320E-1	1.2019E-1	1.8220E+3
1.2031E-1	5.3174E-1	1.2031E-1	1.2200E+3
1.2043E-1	5.3101E-1	1.2043E-1	1.7620E+3
1.2055E-1	5.3223E-1	1.2055E-1	1.7020E+3
1.2055E-1	5.3076E-1	1.2055E-1	1.6710E+3
1.2067E-1	5.3125E-1	1.2067E-1	1.5850E+3
1.2080E-1	5.3003E-1	1.2080E-1	1.7460E+3
1.2080E-1	5.2856E-1	1.2080E-1	1.1720E+3
1.2092E-1	5.2954E-1	1.2092E-1	1.3870E+3
1.2104E-1	5.2979E-1	1.2104E-1	1.4440E+3
1.2104E-1	5.2954E-1	1.2104E-1	1.7980E+3
1.2116E-1	5.2734E-1	1.2116E-1	1.6910E+3
1.2128E-1	5.2637E-1	1.2128E-1	1.2890E+3
1.2141E-1	5.2563E-1	1.2141E-1	2.0120E+3
1.2141E-1	5.2588E-1	1.2141E-1	1.9280E+3
1.2153E-1	5.2515E-1	1.2153E-1	1.8130E+3
1.2165E-1	5.2490E-1	1.2165E-1	1.9710E+3
1.2165E-1	5.2490E-1	1.2165E-1	1.6690E+3
1.2177E-1	5.2637E-1	1.2177E-1	1.4160E+3
1.2189E-1	5.2637E-1	1.2189E-1	1.5940E+3
1.2202E-1	5.2417E-1	1.2202E-1	1.7070E+3
1.2202E-1	5.2466E-1	1.2202E-1	1.2670E+3
1.2214E-1	5.2441E-1	1.2214E-1	1.8270E+3
1.2226E-1	5.2417E-1	1.2226E-1	1.4890E+3
1.2226E-1	5.2246E-1	1.2226E-1	1.4380E+3
1.2238E-1	5.2271E-1	1.2238E-1	1.7220E+3
1.2251E-1	5.2295E-1	1.2251E-1	1.8890E+3
1.2251E-1	5.2124E-1	1.2251E-1	1.3410E+3
1.2263E-1	5.2197E-1	1.2263E-1	1.2830E+3
1.2275E-1	5.2002E-1	1.2275E-1	1.3630E+3
1.2287E-1	5.2051E-1	1.2287E-1	1.3050E+3
1.2287E-1	5.1929E-1	1.2287E-1	2.1090E+3
1.2299E-1	5.2002E-1	1.2299E-1	1.0990E+3
1.2312E-1	5.2148E-1	1.2312E-1	1.7940E+3
1.2312E-1	5.2002E-1	1.2312E-1	1.1760E+3
1.2324E-1	5.2002E-1	1.2324E-1	1.2060E+3
1.2336E-1	5.1660E-1	1.2336E-1	1.6720E+3
1.2348E-1	5.1636E-1	1.2348E-1	1.4590E+3
1.2348E-1	5.1880E-1	1.2348E-1	1.5560E+3
1.2360E-1	5.1782E-1	1.2360E-1	1.6290E+3
1.2373E-1	5.1782E-1	1.2373E-1	1.3100E+3
1.2373E-1	5.1807E-1	1.2373E-1	1.4540E+3
1.2385E-1	5.1660E-1	1.2385E-1	1.5960E+3
1.2397E-1	5.1733E-1	1.2397E-1	1.4180E+3
1.2397E-1	5.1660E-1	1.2397E-1	1.6020E+3
1.2409E-1	5.1367E-1	1.2409E-1	1.6800E+3
1.2421E-1	5.1440E-1	1.2421E-1	2.0790E+3
1.2434E-1	5.1514E-1	1.2434E-1	1.8310E+3
1.2434E-1	5.1538E-1	1.2434E-1	1.4510E+3
1.2446E-1	5.1440E-1	1.2446E-1	1.7580E+3
1.2458E-1	5.1563E-1	1.2458E-1	1.7340E+3
1.2458E-1	5.1416E-1	1.2458E-1	1.4810E+3
1.2470E-1	5.1514E-1	1.2470E-1	1.1080E+3
1.2482E-1	5.1416E-1	1.2482E-1	1.1020E+3
1.2495E-1	5.1294E-1	1.2495E-1	1.5050E+3
1.2495E-1	5.1367E-1	1.2495E-1	1.4630E+3
1.2507E-1	5.1050E-1	1.2507E-1	1.6600E+3
1.2519E-1	5.1221E-1	1.2519E-1	7.2400E+2
1.2519E-1	5.1172E-1	1.2519E-1	1.7750E+3
1.2531E-1	5.1050E-1	1.2531E-1	1.5230E+3
1.2543E-1	5.1050E-1	1.2543E-1	1.0060E+3
1.2556E-1	5.1147E-1	1.2556E-1	1.3960E+3
1.2556E-1	5.1147E-1	1.2556E-1	1.3740E+3
1.2568E-1	5.1050E-1	1.2568E-1	1.4520E+3
1.2580E-1	5.0903E-1	1.2580E-1	1.0080E+3
1.2580E-1	5.0977E-1	1.2580E-1	1.6800E+3
1.2592E-1	5.0977E-1	1.2592E-1	1.1800E+3
1.2605E-1	5.0830E-1	1.2605E-1	1.2650E+3
1.2605E-1	5.0928E-1	1.2605E-1	1.4670E+3
1.2617E-1	5.0732E-1	1.2617E-1	1.8970E+3
1.2629E-1	5.0732E-1	1.2629E-1	1.6250E+3
1.2641E-1	5.0781E-1	1.2641E-1	1.5000E+3
1.2641E-1	5.0781E-1	1.2641E-1	9.1200E+2
1.2653E-1	5.0684E-1	1.2653E-1	2.0790E+3
1.2666E-1	5.0635E-1	1.2666E-1	6.3900E+2
1.2666E-1	5.0635E-1	1.2666E-1	1.8560E+3
1.2678E-1	5.0684E-1	1.2678E-1	1.5030E+3
1.2690E-1	5.0708E-1	1.2690E-1	1.5630E+3
1.2690E-1	5.0562E-1	1.2690E-1	1.4560E+3
1.2702E-1	5.0464E-1	1.2702E-1	1.4670E+3
1.2714E-1	5.0488E-1	1.2714E-1	9.7900E+2
1.2727E-1	5.0513E-1	1.2727E-1	1.3980E+3
1.2727E-1	5.0293E-1	1.2727E-1	1.3940E+3
1.2739E-1	5.0342E-1	1.2739E-1	1.7180E+3
1.2751E-1	5.0269E-1	1.2751E-1	1.6780E+3
1.2751E-1	5.0464E-1	1.2751E-1	1.4780E+3
1.2763E-1	5.0122E-1	1.2763E-1	1.4540E+3
1.2775E-1	5.0122E-1	1.2775E-1	1.5850E+3
1.2788E-1	5.0293E-1	1.2788E-1	1.4280E+3
1.2788E-1	5.0024E-1	1.2788E-1	1.4540E+3
1.2800E-1	5.0146E-1	1.2800E-1	9.2900E+2
1.2812E-1	5.0195E-1	1.2812E-1	1.7240E+3
1.2812E-1	5.0293E-1	1.2812E-1	1.8550E+3
1.2824E-1	4.9976E-1	1.2824E-1	1.5520E+3
1.2836E-1	5.0049E-1	1.2836E-1	1.1810E+3
1.2836E-1	5.0024E-1	1.2836E-1	1.2720E+3
1.2849E-1	4.9902E-1	1.2849E-1	1.0990E+3
1.2861E-1	5.0024E-1	1.2861E-1	1.9430E+3
1.2873E-1	4.9878E-1	1.2873E-1	1.7910E+3
1.2873E-1	5.0098E-1	1.2873E-1	1.9150E+3
1.2885E-1	4.9854E-1	1.2885E-1	1.6010E+3
1.2898E-1	4.9780E-1	1.2898E-1	1.9510E+3
1.2898E-1	4.9756E-1	1.2898E-1	1.7400E+3
1.2910E-1	4.9902E-1	1.2910E-1	1.3700E+3
1.2922E-1	4.9756E-1	1.2922E-1	1.6030E+3
1.2934E-1	4.9634E-1	1.2934E-1	8.1500E+2
1.2934E-1	4.9878E-1	1.2934E-1	1.4290E+3
1.2946E-1	4.9683E-1	1.2946E-1	1.7800E+3
1.2959E-1	4.9707E-1	1.2959E-1	2.1570E+3
1.2959E-1	4.9683E-1	1.2959E-1	1.2630E+3
1.2971E-1	4.9756E-1	1.2971E-1	1.1990E+3
1.2983E-1	4.9585E-1	1.2983E-1	1.1770E+3
1.2995E-1	4.9512E-1	1.2995E-1	1.5630E+3
1.2995E-1	4.9536E-1	1.2995E-1	1.9440E+3
1.3007E-1	4.9756E-1	1.3007E-1	1.2780E+3
1.3020E-1	4.9609E-1	1.3020E-1	1.1870E+3
1.3020E-1	4.9512E-1	1.3020E-1	2.0710E+3
1.3032E-1	4.9414E-1	1.3032E-1	8.9000E+2
1.3044E-1	4.9487E-1	1.3044E-1	1.2570E+3
1.3044E-1	4.9194E-1	1.3044E-1	1.1030E+3
1.3056E-1	4.9316E-1	1.3056E-1	1.1780E+3
1.3068E-1	4.9316E-1	1.3068E-1	5.3100E+2
1.3081E-1	4.9365E-1	1.3081E-1	1.4010E+3
1.3081E-1	4.9146E-1	1.3081E-1	1.2320E+3
1.3093E-1	4.9365E-1	1.3093E-1	1.6160E+3
1.3105E-1	4.9023E-1	1.3105E-1	1.0440E+3
1.3105E-1	4.9170E-1	1.3105E-1	1.2550E+3
1.3117E-1	4.9097E-1	1.3117E-1	1.2580E+3
1.3129E-1	4.9072E-1	1.3129E-1	1.1560E+3
1.3142E-1	4.8975E-1	1.3142E-1	7.5500E+2
1.3142E-1	4.8950E-1	1.3142E-1	1.2940E+3
1.3154E-1	4.8828E-1	1.3154E-1	1.9390E+3
1.3166E-1	4.9072E-1	1.3166E-1	1.3310E+3
1.3166E-1	4.9121E-1	1.3166E-1	6.6400E+2
1.3178E-1	4.8950E-1	1.3178E-1	1.3760E+3
1.3191E-1	4.9121E-1	1.3191E-1	1.7030E+3
1.3191E-1	4.9097E-1	1.3191E-1	8.3100E+2
1.3203E-1	4.8853E-1	1.3203E-1	9.6100E+2
1.3215E-1	4.9097E-1	1.3215E-1	1.2500E+3
1.3227E-1	4.9072E-1	1.3227E-1	1.3710E+3
1.3227E-1	4.8877E-1	1.3227E-1	1.2280E+3
1.3239E-1	4.8926E-1	1.3239E-1	1.1940E+3
1.3252E-1	4.8901E-1	1.3252E-1	1.3830E+3
1.3252E-1	4.8877E-1	1.3252E-1	1.7270E+3
1.3264E-1	4.8804E-1	1.3264E-1	1.9860E+3
1.3276E-1	4.8706E-1	1.3276E-1	1.6270E+3
1.3276E-1	4.8657E-1	1.3276E-1	1.4230E+3
1.3288E-1	4.8682E-1	1.3288E-1	1.6800E+3
1.3300E-1	4.8730E-1	1.3300E-1	9.9900E+2
1.3313E-1	4.8511E-1	1.3313E-1	1.5860E+3
1.3313E-1	4.8755E-1	1.3313E-1	1.5270E+3
1.3325E-1	4.8560E-1	1.3325E-1	9.8600E+2
1.3337E-1	4.8584E-1	1.3337E-1	1.1010E+3
1.3337E-1	4.8633E-1	1.3337E-1	1.0410E+3
1.3349E-1	4.8486E-1	1.3349E-1	1.0150E+3
1.3361E-1	4.8608E-1	1.3361E-1	9.2600E+2
1.3374E-1	4.8511E-1	1.3374E-1	1.7950E+3
